,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0
mu0,56430.29651543123,-35975.56984884893,-9679.158903641943,-3213.5854826037335,25650.21797157149,27603.778390551444,-6445.432884457536,-25729.05877173801,55.247268255896486,5586.15657928812,5.564959859684671
qN,-35975.56984884893,33653.09352740529,8075.733581917129,3099.288544977011,-17859.04852114655,-22166.84045711097,4886.662668889732,18625.939793802652,63.66474996833622,-3229.734582064488,-3.2389543617182053
betaG0,-9679.158903641943,8075.733581917129,29526.4647763958,16528.46621598729,-29772.851110535892,-21621.482314321176,1230.618302683075,5220.565406042282,1780.7563753078216,-3765.263125757086,-3.90645233365074
betaF0,-3213.5854826037335,3099.288544977011,16528.46621598729,10034.990475388671,-15039.752781923617,-13068.33499832289,761.7668088716098,1439.0917895531577,1102.3290268410526,-967.1159655546254,-0.9985354961143128
qEG,25650.21797157149,-17859.04852114655,-29772.851110535892,-15039.752781923617,64849.94650070877,21037.662869585816,-1328.7168077040174,-15007.457883478546,-1293.1338595888628,-13047.465416026966,-16.8408129256265
qEF,27603.778390551444,-22166.84045711097,-21621.482314321176,-13068.33499832289,21037.662869585816,46405.842206567475,-9063.545527692471,-18709.873065568812,-1117.7250532209528,-97.39788616615091,-0.13727878751425576
iG,-6445.432884457536,4886.662668889732,1230.618302683075,761.7668088716098,-1328.7168077040174,-9063.545527692471,2444.5760926797902,4454.565857915698,-8.39679942389602,391.0277856821313,0.40136154916040034
iE,-25729.05877173801,18625.939793802652,5220.565406042282,1439.0917895531577,-15007.457883478546,-18709.873065568812,4454.565857915698,17686.78082876419,-228.5641528994459,-3628.1437928267214,-3.6878744228824676
Kd0,55.247268255896486,63.66474996833622,1780.7563753078216,1102.3290268410526,-1293.1338595888628,-1117.7250532209528,-8.39679942389602,-228.5641528994459,701.5102893823242,-35.17390417050659,-0.04421589790885716
gammaG0,5586.15657928812,-3229.734582064488,-3765.263125757086,-967.1159655546254,-13047.465416026966,-97.39788616615091,391.0277856821313,-3628.1437928267214,-35.17390417050659,24153.525991923434,28.05195996291453
gammaF0,5.564959859684671,-3.2389543617182053,-3.90645233365074,-0.9985354961143128,-16.8408129256265,-0.13727878751425576,0.40136154916040034,-3.6878744228824676,-0.04421589790885716,28.05195996291453,0.033854093494290326
